agency_name,n_routes,total_trips,mean_trips_per_route,max_trips
Bee Network,579,45797,79.09671848013816,2145
Stagecoach East Scotland,327,31379,95.96024464831804,2156
Stagecoach East Midlands,278,24757,89.05395683453237,1359
Stagecoach West Scotland,259,24532,94.71814671814671,580
National Express,242,7163,29.59917355371901,294
Stagecoach Midlands,215,21551,100.23720930232558,1214
Go North East,210,13801,65.71904761904761,671
Stagecoach South East,209,14614,69.92344497607655,532
Stagecoach South West,202,14522,71.89108910891089,674
Stagecoach South,181,33891,187.24309392265192,1390
National Express West Midlands,178,43612,245.01123595505618,1545
Stagecoach Cumbria and North Lancashire,176,24147,137.19886363636363,1130
Stagecoach Merseyside and South Lancashire,166,9350,56.325301204819276,448
Go Ahead London,164,92012,561.0487804878048,2041
Go Cornwall Bus,142,4341,30.570422535211268,187
"First Bristol, Bath & the West",137,80169,585.1751824817518,3832
Stagecoach North East,136,18203,133.84558823529412,787
First South Yorkshire,135,16726,123.8962962962963,834
Arriva North West,131,15471,118.09923664122137,570
Diamond Bus,131,6367,48.603053435114504,364
Stagecoach Yorkshire,128,16044,125.34375,922
Stagecoach London,127,57298,451.1653543307087,2131
Arriva North East,125,12303,98.424,389
First Essex,121,60108,496.7603305785124,2944
First Norfolk & Suffolk,121,30789,254.45454545454547,1498
Metroline Travel,118,61641,522.3813559322034,1614
Arriva Midlands,115,8132,70.71304347826087,297
Stagecoach South Wales,110,6933,63.027272727272724,353
First South & West Wales,106,6011,56.70754716981132,314
Metrobus,106,18947,178.74528301886792,1119
Stagecoach Bluebird,101,3266,32.336633663366335,151
morebus,98,14551,148.4795918367347,1315
Stagecoach West,96,11829,123.21875,802
Central Connect,96,2305,24.010416666666668,146
Centrebus,96,3800,39.583333333333336,160
Nottingham City Transport,95,23111,243.2736842105263,900
East Yorkshire,93,3824,41.11827956989247,196
Stephensons of Essex,88,1016,11.545454545454545,80
First Greater Glasgow,87,14687,168.816091954023,508
Bluestar,86,11735,136.45348837209303,1424
Warrington's Own Buses,85,3264,38.4,310
McGill's Bus Service,83,26442,318.578313253012,2227
Arriva Wales,82,4248,51.80487804878049,333
Transport UK,81,39664,489.679012345679,1737
JH Coaches,80,102,1.275,3
Arriva Yorkshire,80,7492,93.65,302
Arriva Kent and Surrey,79,7721,97.73417721518987,458
Sanders Coaches,77,1000,12.987012987012987,214
FlixBus,76,5072,66.73684210526316,1162
Brighton & Hove Bus and Coach Company,73,33668,461.2054794520548,3056
Compass Travel,73,1539,21.08219178082192,162
D & G Bus,73,2861,39.19178082191781,116
Nu-Venture,71,706,9.943661971830986,109
Reading Buses,70,24972,356.74285714285713,2695
Stagecoach East,69,8163,118.30434782608695,382
The Keighley Bus Company,67,2097,31.29850746268657,317
Hedingham & Chambers,67,1610,24.029850746268657,104
Carousel Buses,63,2969,47.12698412698413,237
First Leeds,63,46327,735.3492063492064,2541
Lothian Buses,62,56084,904.5806451612904,3674
Team Pennine,62,1445,23.306451612903224,154
First Worcestershire,61,4369,71.62295081967213,483
Salisbury Reds,61,5026,82.39344262295081,780
Cardiff Bus,60,5674,94.56666666666666,370
Newport Bus,59,1992,33.76271186440678,110
Arriva Herts and Essex,59,5252,89.01694915254237,416
Al's Coaches,58,243,4.189655172413793,82
London United,58,31772,547.7931034482758,1445
PC Coaches,55,679,12.345454545454546,72
Red Eagle,54,661,12.24074074074074,78
West Coast Motors,54,4013,74.31481481481481,884
Red Rose Travel,54,1421,26.314814814814813,93
Swindon's Bus Company,53,2620,49.43396226415094,415
Midland Bluebird,51,6858,134.47058823529412,1182
Faresaver,51,1481,29.03921568627451,169
Replacement Service,50,12007,240.14,861
Dartline Coaches,48,1271,26.479166666666668,549
Huyton Travel,47,3078,65.48936170212765,278
Plymouth Citybus,47,3095,65.85106382978724,228
Arriva London North,45,29745,661.0,1826
Gateshead Central Buses,45,2069,45.977777777777774,376
Arriva Beds and Bucks,45,4976,110.57777777777778,720
trentbarton,44,8748,198.8181818181818,624
TransportConnect,44,911,20.704545454545453,72
Ipswich Buses,43,2583,60.06976744186046,347
TLC Travel,42,1418,33.76190476190476,225
First Aberdeen,42,9310,221.66666666666666,940
Arriva London,41,25926,632.3414634146342,1292
Stagecoach Oxfordshire,41,6341,154.65853658536585,676
Yeomans Travel,41,514,12.536585365853659,82
Pulhams Coaches,41,757,18.463414634146343,91
Go-Coach Hire,38,416,10.947368421052632,65
Diamond Bus East Midlands,38,776,20.42105263157895,86
Oxford Bus Company,37,5438,146.97297297297297,487
First Potteries,37,9394,253.8918918918919,1207
Select Bus Services,37,602,16.27027027027027,93
Thames Travel,37,1911,51.648648648648646,329
FromeBus,36,359,9.972222222222221,35
National Express Coventry,34,10060,295.88235294117646,1025
High Peak,34,1105,32.5,183
Konectbus,34,1221,35.911764705882355,138
Flexibus,34,154,4.529411764705882,27
Preston Bus,34,2438,71.70588235294117,370
Highland Council,34,531,15.617647058823529,188
