check_id,category,dataset,column,severity,status,observed,expected,affected_rows,affected_pct,notes
C1.IMD2025.key_null,Completeness,IMD2025,LSOA code (2021),INFO,PASS,0,0,0,0.0,Null join keys
C2.IMD2025.key_empty,Completeness,IMD2025,LSOA code (2021),INFO,PASS,0,0,0,0.0,Empty string join keys
C3.IMD2025.key_whitespace,Completeness,IMD2025,LSOA code (2021),INFO,PASS,0,0,0,0.0,Whitespace around join keys
C1.NOMIS.key_null,Completeness,NOMIS,geography code,INFO,PASS,0,0,0,0.0,Null join keys
C2.NOMIS.key_empty,Completeness,NOMIS,geography code,INFO,PASS,0,0,0,0.0,Empty string join keys
C3.NOMIS.key_whitespace,Completeness,NOMIS,geography code,INFO,PASS,0,0,0,0.0,Whitespace around join keys
C1.Census.key_null,Completeness,Census,geography code,INFO,PASS,0,0,0,0.0,Null join keys
C2.Census.key_empty,Completeness,Census,geography code,INFO,PASS,0,0,0,0.0,Empty string join keys
C3.Census.key_whitespace,Completeness,Census,geography code,INFO,PASS,0,0,0,0.0,Whitespace around join keys
C1.RUC.key_null,Completeness,RUC,LSOA21CD,INFO,PASS,0,0,0,0.0,Null join keys
C2.RUC.key_empty,Completeness,RUC,LSOA21CD,INFO,PASS,0,0,0,0.0,Empty string join keys
C3.RUC.key_whitespace,Completeness,RUC,LSOA21CD,INFO,PASS,0,0,0,0.0,Whitespace around join keys
C1.Age.key_null,Completeness,Age,geography code,INFO,PASS,0,0,0,0.0,Null join keys
C2.Age.key_empty,Completeness,Age,geography code,INFO,PASS,0,0,0,0.0,Empty string join keys
C3.Age.key_whitespace,Completeness,Age,geography code,INFO,PASS,0,0,0,0.0,Whitespace around join keys
C1.Cars.key_null,Completeness,Cars,geography code,INFO,PASS,0,0,0,0.0,Null join keys
C2.Cars.key_empty,Completeness,Cars,geography code,INFO,PASS,0,0,0,0.0,Empty string join keys
C3.Cars.key_whitespace,Completeness,Cars,geography code,INFO,PASS,0,0,0,0.0,Whitespace around join keys
C1.Ethnicity.key_null,Completeness,Ethnicity,geography code,INFO,PASS,0,0,0,0.0,Null join keys
C2.Ethnicity.key_empty,Completeness,Ethnicity,geography code,INFO,PASS,0,0,0,0.0,Empty string join keys
C3.Ethnicity.key_whitespace,Completeness,Ethnicity,geography code,INFO,PASS,0,0,0,0.0,Whitespace around join keys
C1.NaPTAN.ATCOCode,Completeness,NaPTAN,ATCOCode,INFO,PASS,0,0,0,0.0,Null ATCOCode in NaPTAN
C6.NaPTAN.coords,Completeness,NaPTAN,Latitude,HIGH,WARN,52449,0,52449,12.0781,"Null coordinates in raw NaPTAN (52,449 rows — filtered out in England set)"
V1.IMD.score_range,Validity,IMD2025,IMD Score,INFO,PASS,min=0.165,>=0,0,0.0,IMD scores below 0 are impossible
V2.IMD.rank_range,Validity,IMD2025,IMD Rank,INFO,PASS,"range [1,33755]","[1,33755]",0,0.0,IMD rank outside valid range
V3.IMD.rank_unique,Validity,IMD2025,IMD Rank,INFO,PASS,0 dupes,0 dupes,0,0.0,Duplicate IMD ranks (must be bijection 1..33755)
V4.IMD.decile_domain,Validity,IMD2025,IMD Decile,INFO,PASS,"[8, 10, 5, 4, 2, 3, 6, 1, 7, 9]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",0,0.0,"IMD decile outside [1,10]"
V5.IMD.Income_rate,Validity,IMD2025,Income Score (rate),INFO,PASS,"[0.0020,0.9980]","[0,1]",0,0.0,"Income score outside valid rate range [0,1]"
V5.IMD.Employment_rate,Validity,IMD2025,Employment Score (rate),INFO,PASS,"[0.0020,0.9780]","[0,1]",0,0.0,"Employment score outside valid rate range [0,1]"
V6.NOMIS.unemp_le_active,Validity,NOMIS,Unemployed,INFO,PASS,0 violations,unemployed <= econ_active always,0,0.0,Unemployed > economically active — impossible
V7.NOMIS.neg_econ_active,Validity,NOMIS,Econ Active,INFO,PASS,0 negatives,>=0,0,0.0,Negative economically active count
V9.Census.pop_positive,Validity,Census,Residence type: Total; measures: Value,INFO,PASS,0 non-positive,>0,0,0.0,Zero or negative population — LSOAs must have population > 0
V10.Cars.nocar_le_total,Validity,Cars,No cars,INFO,PASS,0 violations,no_car <= total_hh,0,0.0,No-car households > total households — impossible
V11.Cars.hh_positive,Validity,Cars,Total HH,INFO,PASS,0 non-positive,>0,0,0.0,Zero or negative household count
V12.Age.bands_sum,Validity,Age,Age bands,INFO,PASS,0 mismatches,sum(bands) == Total ±2,0,0.0,Age band sum != Age Total
V13.Eth.groups_sum,Validity,Ethnicity,Ethnic groups,INFO,PASS,0 mismatches,sum(top-level groups) ≈ Total ±5,0,0.0,Ethnic group sum deviates from total by >5
V14.NaPTAN.lat_bounds,Validity,NaPTAN,Latitude,INFO,PASS,"0 outside [49.9,55.9]",49.9–55.9,0,0.0,Stop latitude outside England bounds
V15.NaPTAN.lon_bounds,Validity,NaPTAN,Longitude,INFO,PASS,"0 outside [-6.5,2.1]",-6.5–2.1,0,0.0,Stop longitude outside England bounds
