lsoa_cd,lsoa_name,la_name,imd_score,imd_decile,elderly_pct,nocar_pct,nonwhite_pct,unemployment_pct,stop_count,stops_per_1k,ruc_class,cluster,archetype,desert_score,n_deprived
E01021495,Castle Point 009C,Castle Point,23.74,4,58.07881773399015,24.78777589134126,1.8217626784835073,1.6815554387808722,0,0.0,UN1,2,Elderly Rural,0.6681121143275512,5
E01017281,Southampton 032D,Southampton,75.537,1,7.347204161248374,50.14492753623189,10.1364522417154,8.045977011494253,1,0.6506180871828238,UN1,3,Deprived Car-Free Urban,0.6472058156470338,7
E01018078,Fenland 007B,Fenland,48.324,1,26.014865637507146,28.966346153846157,3.028571428571425,2.6038001407459537,0,0.0,UF1,3,Deprived Car-Free Urban,0.6455596390077674,8
E01011792,Wakefield 039D,Wakefield,72.504,1,15.977961432506888,39.74151857835218,7.260273972602738,4.351767905711696,3,2.054794520547945,RLN1,3,Deprived Car-Free Urban,0.6432707008869328,8
E01026467,Breckland 015C,Breckland,53.265,1,7.985643786451324,37.285902503293805,7.443946188340811,5.2798982188295165,0,0.0,UF1,3,Deprived Car-Free Urban,0.6196115311862617,7
E01019269,Copeland 001B,Cumberland,40.681,2,22.578534031413614,28.508124076809455,0.5890052356020914,4.1017227235438884,0,0.0,RLF1,3,Deprived Car-Free Urban,0.6177843351673209,6
E01025584,Wyre 001F,Wyre,80.657,1,20.934959349593495,57.44920993227991,6.968876860622464,9.767092411720512,15,10.135135135135135,UN1,3,Deprived Car-Free Urban,0.6135333725071012,6
E01026596,Great Yarmouth 005B,Great Yarmouth,40.177,2,18.037974683544302,31.004366812227076,6.135357368753958,4.520654715510522,0,0.0,UF1,3,Deprived Car-Free Urban,0.6084295178127741,7
E01006950,Sefton 004B,Sefton,49.953,1,27.480916030534353,46.96485623003195,6.297822248381402,4.296100462656973,10,5.892751915144372,UN1,3,Deprived Car-Free Urban,0.6071505378835651,7
E01019077,Isles of Scilly 001A,Isles of Scilly,12.65,7,28.223844282238442,41.76408076514346,2.481751824817513,0.8675534991324465,0,0.0,RSF1,2,Elderly Rural,0.6051016527267313,6
E01012040,Middlesbrough 003E,Middlesbrough,79.882,1,7.015032211882606,62.95652173913043,52.521613832853035,12.290502793296088,0,0.0,UN1,1,Deprived Young Diverse Car-Free Urban,0.6037983659611332,9
E01019355,South Lakeland 013D,Westmorland and Furness,5.94,9,55.43097407147862,10.150891632373114,1.4005602240896309,1.4992503748125936,0,0.0,RLF1,2,Elderly Rural,0.6031812839476081,4
E01026741,North Norfolk 004A,North Norfolk,19.343,5,45.07204610951009,11.395348837209303,1.7271157167530249,2.271293375394322,0,0.0,RSF1,2,Elderly Rural,0.6028204559917475,5
E01017108,Portsmouth 010C,Portsmouth,39.147,2,17.399497487437184,37.83031988873435,10.87366436203645,3.8669760247486464,2,1.257071024512885,UN1,3,Deprived Car-Free Urban,0.6010862961521077,6
E01026606,Great Yarmouth 001B,Great Yarmouth,27.932,3,37.91637136782423,11.463046757164404,2.406227883934886,1.4925373134328357,0,0.0,RSF1,2,Elderly Rural,0.5993749073845083,7
E01019113,Allerdale 009C,Cumberland,66.93,1,18.936678614097968,44.28044280442804,0.8955223880596996,4.535147392290249,0,0.0,UF1,3,Deprived Car-Free Urban,0.5972905091942236,7
E01026739,North Norfolk 002A,North Norfolk,24.933,4,39.947916666666664,10.10752688172043,2.3523261892315683,1.694915254237288,0,0.0,RSF1,2,Elderly Rural,0.5961698140602518,5
E01022045,Tendring 018D,Tendring,60.737,1,29.442815249266864,20.989143546441497,2.5821596244131495,3.537414965986395,8,4.694835680751174,RLN1,3,Deprived Car-Free Urban,0.5955387478431955,7
E01026478,Breckland 017E,Breckland,42.698,2,13.716012084592144,28.387096774193548,5.491852745926373,3.2407407407407405,0,0.0,UF1,3,Deprived Car-Free Urban,0.5947276011489011,6
E01001483,Enfield 025A,Enfield,60.116,1,9.612141652613827,51.698113207547166,60.60606060606061,6.229143492769744,1,0.8424599831508003,UN1,1,Deprived Young Diverse Car-Free Urban,0.5907495396732434,9
E01007764,Rotherham 020F,Rotherham,66.799,1,12.843029637760702,36.541143654114364,2.791461412151064,4.69341408024224,9,4.926108374384237,UN1,3,Deprived Car-Free Urban,0.5891312078712314,7
E01028998,Shropshire 032C,Shropshire,10.976,8,42.27859368046284,16.862037871956716,2.444444444444449,1.9753086419753085,0,0.0,RLN1,0,Affluent Urban,0.5887331468389327,3
E01019957,East Devon 012B,East Devon,6.068,9,65.54092730394963,20.930232558139537,2.1739130434782594,0.607164541590771,6,3.4344590726960504,UF1,2,Elderly Rural,0.5849128638341021,2
E01014354,Stoke-on-Trent 005A,Stoke-on-Trent,62.051,1,15.830546265328874,44.56654456654457,32.92547274749722,5.096011816838995,0,0.0,UN1,3,Deprived Car-Free Urban,0.5845989990949769,8
E01019138,Barrow-in-Furness 010A,Westmorland and Furness,35.495,2,24.675324675324674,37.79264214046823,1.3864818024263426,3.1827515400410675,0,0.0,UF1,3,Deprived Car-Free Urban,0.584423280792452,6
E01026496,Breckland 008E,Breckland,18.72,5,40.82363473589973,9.14396887159533,1.9607843137254943,0.9027081243731194,0,0.0,RSF1,2,Elderly Rural,0.5834770797474775,4
E01019156,Barrow-in-Furness 004A,Westmorland and Furness,62.772,1,21.685878962536023,60.311284046692606,5.115273775216133,5.137289636846766,0,0.0,UF1,3,Deprived Car-Free Urban,0.583083051735463,7
E01026656,King's Lynn and West Norfolk 002C,King's Lynn and West Norfolk,26.499,4,35.20578420467186,8.588957055214724,1.27848804891606,3.0828516377649327,0,0.0,RSF1,2,Elderly Rural,0.5816131828261178,5
E01034161,Plymouth 034D,Plymouth,28.929,3,24.424342105263158,37.16577540106952,8.985985160758448,4.101221640488656,3,2.471169686985173,UN1,3,Deprived Car-Free Urban,0.5814809467249838,6
E01008978,Birmingham 121B,Birmingham,77.901,1,14.40738112136267,64.76190476190476,41.637010676156585,9.803921568627452,0,0.0,UN1,3,Deprived Car-Free Urban,0.5813316331605567,8
E01023044,New Forest 023A,New Forest,2.426,10,52.18978102189781,7.977736549165121,3.0909090909090886,2.034587995930824,0,0.0,UF1,0,Affluent Urban,0.58094276218986,3
E01019298,Copeland 008F,Cumberland,22.828,4,28.199863107460644,21.323529411764707,1.0266940451745366,2.680747359870024,0,0.0,RLF1,0,Affluent Urban,0.5809121575992406,3
E01029003,Shropshire 037B,Shropshire,21.929,4,39.63553530751708,5.739299610894942,1.4538845979100379,0.556398583712696,0,0.0,RSF1,2,Elderly Rural,0.5790492440595522,5
E01024988,Fylde 006E,Fylde,25.601,4,41.878172588832484,36.68981481481482,3.8754764930114316,2.146814404432133,9,5.714285714285714,UN1,0,Affluent Urban,0.5789751070931809,4
E01000853,Camden 029H,Camden,42.566,2,20.22792022792023,83.88888888888889,49.11535739561217,7.686084142394822,0,0.0,UN1,1,Deprived Young Diverse Car-Free Urban,0.5789453283088919,9
E01026456,Breckland 007B,Breckland,16.105,6,39.36348408710218,11.588785046728972,2.931323283082077,2.654028436018957,0,0.0,RLF1,0,Affluent Urban,0.5789289429840343,3
E01012679,Blackpool 008B,Blackpool,86.142,1,11.893033075299085,61.0062893081761,8.57946554149086,9.245283018867925,2,1.4054813773717498,UN1,3,Deprived Car-Free Urban,0.5785715942957411,7
E01030160,East Suffolk 029A,East Suffolk,28.225,3,28.187059577194105,27.667493796526056,3.399615137908918,3.003003003003003,3,1.925545571245186,UN1,0,Affluent Urban,0.5782385961826149,5
E01019271,Copeland 006A,Cumberland,32.9,3,20.07751937984496,21.36602451838879,0.8573655494933718,1.3333333333333335,0,0.0,RLF1,0,Affluent Urban,0.5776104288623822,4
E01018093,Fenland 003E,Fenland,29.106,3,21.642394822006473,22.613531047265987,4.810024252223122,2.714493456131847,0,0.0,UF1,0,Affluent Urban,0.5771163641958978,5
